Codigo IBGE;IDADE;SEXO;COR;homic;Nome;IDH;Populacao
330025;5;1;2;1;Arraial do Cabo;0,733;194
330025;5;1;3;0;Arraial do Cabo;0,733;743
330025;6;0;1;0;Arraial do Cabo;0,733;979
330025;6;0;2;0;Arraial do Cabo;0,733;116
330025;6;0;3;0;Arraial do Cabo;0,733;565
330025;6;1;1;0;Arraial do Cabo;0,733;872
330025;6;1;2;1;Arraial do Cabo;0,733;159
330025;6;1;3;0;Arraial do Cabo;0,733;573
330025;7;0;1;0;Arraial do Cabo;0,733;642
330025;7;0;2;0;Arraial do Cabo;0,733;83
330025;7;0;3;0;Arraial do Cabo;0,733;338
330025;7;1;1;0;Arraial do Cabo;0,733;591
330025;7;1;2;0;Arraial do Cabo;0,733;86
330025;7;1;3;0;Arraial do Cabo;0,733;320
330025;8;0;1;0;Arraial do Cabo;0,733;371
330025;8;0;2;0;Arraial do Cabo;0,733;54
330025;8;0;3;0;Arraial do Cabo;0,733;148
330025;8;1;1;1;Arraial do Cabo;0,733;337
330025;8;1;2;0;Arraial do Cabo;0,733;50
330025;8;1;3;0;Arraial do Cabo;0,733;149
330025;9;0;1;0;Arraial do Cabo;0,733;137
330025;9;0;2;0;Arraial do Cabo;0,733;13
330025;9;0;3;0;Arraial do Cabo;0,733;38
330025;9;1;1;0;Arraial do Cabo;0,733;91
330025;9;1;2;0;Arraial do Cabo;0,733;10
330025;9;1;3;0;Arraial do Cabo;0,733;38
330025;10;0;1;0;Arraial do Cabo;0,733;23
330025;10;0;2;0;Arraial do Cabo;0,733;2
330025;10;0;3;0;Arraial do Cabo;0,733;5
330025;10;1;1;0;Arraial do Cabo;0,733;7
330025;10;1;2;0;Arraial do Cabo;0,733;2
330025;10;1;3;0;Arraial do Cabo;0,733;3
330030;1;0;1;0;Barra do Piraퟻ-224,715;2500;
330030;1;0;2;0;Barra do Piraퟻ-224,715;902;
330030;1;0;3;0;Barra do Piraퟻ-224,715;2723;
330030;1;1;1;0;Barra do Piraퟻ-224,715;2518;
330030;1;1;2;0;Barra do Piraퟻ-224,715;987;
330030;1;1;3;0;Barra do Piraퟻ-224,715;2727;
330030;2;0;1;0;Barra do Piraퟻ-224,715;2769;
330030;2;0;2;0;Barra do Piraퟻ-224,715;1275;
330030;2;0;3;0;Barra do Piraퟻ-224,715;3277;
330030;2;1;1;1;Barra do Piraퟻ-224,715;2842;
330030;2;1;2;8;Barra do Piraퟻ-224,715;1355;
