LAW_CAT_CD;TYPE;BORO_NM;Day;Longitude;Latitude
FELONY;RAPE;QUEENS;13;-73,8942878;40,69625883
FELONY;RAPE;BRONX;12;-73,87936926;40,83349235
FELONY;RAPE;BROOKLYN;1;-73,97851413;40,64426166
FELONY;RAPE;MANHATTAN;1;-73,99050125;40,75626621
FELONY;RAPE;BROOKLYN;3;-73,98928814;40,60108485
FELONY;RAPE;BROOKLYN;4;-73,97269019;40,63736826
FELONY;RAPE;QUEENS;2;-73,84441942;40,69518117
FELONY;RAPE;BRONX;5;-73,8665587;40,85872683
FELONY;RAPE;BRONX;6;-73,86768337;40,81855924
FELONY;RAPE;QUEENS;3;-73,89615494;40,74545489
FELONY;RAPE;QUEENS;2;-73,89389136;40,74822228
FELONY;RAPE;QUEENS;3;-73,87524777;40,73427671
FELONY;RAPE;BROOKLYN;4;-73,99407279;40,57430143
FELONY;RAPE;BROOKLYN;2;-74,01074531;40,63436546
FELONY;RAPE;MANHATTAN;10;-73,93976884;40,84108492
FELONY;RAPE;MANHATTAN;12;-74,01382607;40,70523527
FELONY;RAPE;BROOKLYN;13;-73,90580184;40,64827365
FELONY;RAPE;BROOKLYN;14;-73,90543089;40,67608072
FELONY;RAPE;BRONX;15;-73,88724529;40,84735837
FELONY;RAPE;QUEENS;13;-73,73129613;40,68004652
FELONY;RAPE;BRONX;14;-73,86620349;40,82145596
FELONY;RAPE;QUEENS;15;-73,7788506;40,69870794
FELONY;RAPE;MANHATTAN;12;-73,94366574;40,80161235
FELONY;RAPE;BRONX;11;-73,85553704;40,90002669
FELONY;RAPE;BROOKLYN;1;-73,91861249;40,64561275
FELONY;RAPE;BROOKLYN;7;-73,95003704;40,59493712
FELONY;RAPE;BRONX;8;-73,87934218;40,87433354
FELONY;RAPE;BRONX;9;-73,81707229;40,81658522
FELONY;RAPE;BRONX;23;-73,86655282;40,88327814
FELONY;RAPE;BROOKLYN;29;-73,8934102;40,64968737
FELONY;VANDALISM;BRONX;22;-73,90267336;40,8413121
FELONY;VANDALISM;MANHATTAN;21;-73,99126127;40,7132944
FELONY;ROBBERY;BRONX;17;-73,88786624;40,82635368
FELONY;ROBBERY;MANHATTAN;12;-73,96144337;40,79611923
FELONY;ROBBERY;MANHATTAN;17;-73,9797386;40,7415063
FELONY;ROBBERY;STATEN ISLAND;17;-74,10946481;40,57936849
FELONY;ROBBERY;BRONX;17;-73,84815812;40,87927011
FELONY;ROBBERY;BROOKLYN;12;-73,91883467;40,70587447
FELONY;ROBBERY;BROOKLYN;13;-74,00630636;40,63259266
FELONY;ROBBERY;MANHATTAN;12;-73,98881794;40,72089168
FELONY;ROBBERY;BRONX;11;-73,87794578;40,82741405
FELONY;ROBBERY;BROOKLYN;10;-73,92571323;40,70547563
FELONY;ROBBERY;BRONX;21;-73,92161974;40,81269914
FELONY;ROBBERY;QUEENS;22;-73,91706612;40,77064665
FELONY;ROBBERY;BROOKLYN;23;-73,90650243;40,68064616
FELONY;ROBBERY;BRONX;24;-73,84546128;40,87735622
FELONY;ROBBERY;BROOKLYN;24;-73,93057482;40,67459999
FELONY;ROBBERY;MANHATTAN;24;-73,97647697;40,73972434
FELONY;ROBBERY;BROOKLYN;24;-73,9177083;40,65705786
FELONY;ROBBERY;STATEN ISLAND;25;-74,1486569;40,55165402
FELONY;ROBBERY;QUEENS;26;-73,86934425;40,74732422
FELONY;ROBBERY;MANHATTAN;27;-73,99990042;40,72943391
FELONY;ROBBERY;QUEENS;28;-73,82368885;40,7546303
FELONY;ROBBERY;STATEN ISLAND;29;-74,14219023;40,62762741
FELONY;ROBBERY;BRONX;30;-73,89773096;40,8613579
FELONY;ROBBERY;QUEENS;30;-73,8077432;40,70059059
FELONY;ROBBERY;QUEENS;1;-73,7438057;40,69723543
FELONY;ROBBERY;BRONX;2;-73,89685113;40,82492658
FELONY;ROBBERY;MANHATTAN;2;-73,93199489;40,85170536
FELONY;ROBBERY;BRONX;2;-73,82604095;40,88088022
FELONY;ROBBERY;QUEENS;2;-73,91309261;40,74743415
FELONY;ROBBERY;BROOKLYN;2;-73,89246598;40,63630016
FELONY;ROBBERY;BROOKLYN;1;-73,93672859;40,70131017
FELONY;ROBBERY;STATEN ISLAND;3;-74,15784201;40,59509484
FELONY;ROBBERY;QUEENS;3;-73,75320018;40,59396107
FELONY;ROBBERY;QUEENS;1;-73,86433564;40,76115197
FELONY;ROBBERY;BRONX;1;-73,92103574;40,81165849
FELONY;ROBBERY;QUEENS;3;-73,82801046;40,69407638
FELONY;ROBBERY;BRONX;4;-73,84107447;40,87605477
FELONY;ROBBERY;MANHATTAN;2;-73,97847518;40,72033577
FELONY;ROBBERY;BRONX;5;-73,88662497;40,81686946
FELONY;ROBBERY;BROOKLYN;6;-73,9490009;40,64092293
FELONY;ROBBERY;BROOKLYN;3;-73,94403914;40,68398073
FELONY;ROBBERY;QUEENS;2;-73,95506413;40,7495085
FELONY;ROBBERY;BROOKLYN;3;-73,9519008;40,73691705
FELONY;ROBBERY;STATEN ISLAND;4;-74,25045424;40,51342561
FELONY;ROBBERY;QUEENS;2;-73,93737631;40,74893208
FELONY;ROBBERY;STATEN ISLAND;10;-74,16788277;40,63589027
FELONY;ROBBERY;MANHATTAN;12;-73,98785862;40,71923101
FELONY;ROBBERY;BRONX;13;-73,8488902;40,90401992
FELONY;ROBBERY;MANHATTAN;14;-73,94197558;40,80962885
FELONY;ROBBERY;BRONX;15;-73,87373175;40,82976174
FELONY;ROBBERY;QUEENS;13;-73,82949614;40,68140321
FELONY;ROBBERY;BROOKLYN;14;-73,87167483;40,67281467
FELONY;ROBBERY;MANHATTAN;15;-74,00903437;40,71743896
FELONY;ROBBERY;BROOKLYN;12;-73,93837055;40,68463384
FELONY;ROBBERY;BRONX;11;-73,87924769;40,82481617
FELONY;ROBBERY;QUEENS;1;-73,85868295;40,74403988
FELONY;ROBBERY;STATEN ISLAND;7;-74,16514478;40,63454929
FELONY;ROBBERY;MANHATTAN;8;-73,96453178;40,8020653
FELONY;ROBBERY;BROOKLYN;9;-73,91617538;40,6895357
FELONY;ROBBERY;QUEENS;23;-73,80372251;40,71510364
FELONY;ROBBERY;STATEN ISLAND;29;-74,16744517;40,5519548
FELONY;ROBBERY;STATEN ISLAND;22;-74,13103862;40,61573923
FELONY;ROBBERY;MANHATTAN;21;-73,99057312;40,73299348
FELONY;ROBBERY;BRONX;17;-73,86100069;40,85606339
FELONY;ROBBERY;BROOKLYN;12;-74,03557588;40,61962368
FELONY;ROBBERY;STATEN ISLAND;17;-74,11517116;40,57336276
FELONY;ROBBERY;STATEN ISLAND;17;-74,09387491;40,59576601
FELONY;ROBBERY;BROOKLYN;17;-73,89748714;40,63958203
FELONY;ROBBERY;BROOKLYN;12;-73,91852253;40,62190045
FELONY;ROBBERY;MANHATTAN;13;-73,99256372;40,74324802
FELONY;ROBBERY;BROOKLYN;12;-73,87736438;40,65664863
FELONY;ROBBERY;BROOKLYN;11;-73,97084719;40,58382784
FELONY;ROBBERY;BROOKLYN;10;-73,89853941;40,63237789
FELONY;ROBBERY;QUEENS;21;-73,82546174;40,68687574
FELONY;ROBBERY;QUEENS;22;-73,74883161;40,60472224
FELONY;ROBBERY;BRONX;23;-73,865861;40,8515541
FELONY;ROBBERY;BRONX;24;-73,89024669;40,87060066
FELONY;ROBBERY;QUEENS;24;-73,81718784;40,7429577
FELONY;ROBBERY;MANHATTAN;24;-73,96613051;40,76218752
FELONY;ROBBERY;BROOKLYN;24;-73,92411838;40,64902554
FELONY;ROBBERY;BRONX;25;-73,92810095;40,83250925
FELONY;ROBBERY;QUEENS;26;-73,87480029;40,7131745
FELONY;ROBBERY;BROOKLYN;27;-73,95471732;40,67566602
FELONY;ROBBERY;STATEN ISLAND;28;-74,12660394;40,63623957
FELONY;ROBBERY;QUEENS;29;-73,86952886;40,76546996
FELONY;ROBBERY;BROOKLYN;30;-73,94243479;40,65875818
FELONY;ROBBERY;BROOKLYN;30;-73,97471159;40,59912552
FELONY;ROBBERY;MANHATTAN;1;-74,00110567;40,73916132
FELONY;ROBBERY;MANHATTAN;2;-73,94065362;40,82969208
FELONY;ROBBERY;BRONX;2;-73,88585905;40,88007109
FELONY;ROBBERY;BROOKLYN;2;-73,96668833;40,63566766
FELONY;ROBBERY;QUEENS;2;-73,94342325;40,75544301
FELONY;ROBBERY;BRONX;2;-73,84882148;40,88492779
FELONY;ROBBERY;BROOKLYN;1;-73,88976132;40,63120876
FELONY;ROBBERY;BROOKLYN;3;-73,95563182;40,69915064
FELONY;ROBBERY;MANHATTAN;3;-74,00128608;40,73834063
FELONY;ROBBERY;BRONX;22;-73,82613209;40,87921707
FELONY;ROBBERY;BROOKLYN;23;-74,0021463;40,66940309
FELONY;ROBBERY;MANHATTAN;24;-73,95414124;40,82139272
FELONY;ROBBERY;BROOKLYN;25;-73,9599458;40,73398599
FELONY;ROBBERY;QUEENS;28;-73,93258953;40,7714308
FELONY;ROBBERY;MANHATTAN;29;-73,98683434;40,71800673
FELONY;ROBBERY;QUEENS;2;-73,91154209;40,75728662
FELONY;ROBBERY;QUEENS;2;-73,87341619;40,74681275
FELONY;ROBBERY;QUEENS;2;-73,83161293;40,68981907
FELONY;ROBBERY;QUEENS;2;-73,840739;40,777582
FELONY;ROBBERY;BROOKLYN;1;-73,94342179;40,59566417
FELONY;ROBBERY;BROOKLYN;3;-73,987162;40,70244945
FELONY;ROBBERY;BROOKLYN;3;-73,98093009;40,68891139
FELONY;ROBBERY;BRONX;22;-73,89590242;40,86087869
FELONY;ROBBERY;MANHATTAN;23;-73,99239379;40,74602844
FELONY;ROBBERY;BRONX;24;-73,89131056;40,86565846
FELONY;VANDALISM;MANHATTAN;25;-73,95198129;40,77543411
